Degree,Dept,Department,RollNo,Name,Section,Batch,Password
B.Tech,IT,Information Technology,22F222,Immu,B,2022 - 2026,it07
B.Tech,IT,Information Technology,22F228,Hari,B,2023 - 2026,it07
B.Tech,IT,Information Technology,22F224,Mohan,B,2024 - 2026,it07
B.Tech,IT,Information Technology,22F225,Bharath,B,2025 - 2026,it07
B.Tech,IT,Information Technology,22F226,K7,B,2026 - 2026,it07
B.Tech,IT,Information Technology,22F227,A,B,2027 - 2026,it07
B.Tech,IT,Information Technology,22F228,B,B,2028 - 2026,it07
B.Tech,IT,Information Technology,22F229,C,B,2029 - 2026,it07
B.Tech,IT,Information Technology,22F230,D,B,2030 - 2026,it07
B.Tech,IT,Information Technology,22F231,E,B,2031 - 2026,it07
B.Tech,IT,Information Technology,22F232,F,B,2032 - 2026,it07
B.Tech,IT,Information Technology,22F233,Giri,B,2033 - 2026,it07
B.Tech,IT,Information Technology,22F234,L,B,2034 - 2026,it07
